EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,1000.0,2,2,4.700392007827759,2000,0.023776471614837646,2.681338,0.06835882,0.0,-0.06251583,158.7531
1000.0,1000.0,2,4,6.705702543258667,4000,0.746993750333786,2.5418215,0.35047024,0.0,-0.072647974,70.31428
1000.0,1000.0,2,6,8.525848388671875,6000,-0.013720870018005371,2.4230797,0.07710882,0.0,-0.06278463,102.84536
1000.0,1000.0,2,8,10.299601554870605,8000,-0.000446319580078125,2.353183,0.11359222,0.0,-0.059246134,105.46338
1000.0,1000.0,2,10,12.10300612449646,10000,-0.0023833513259887695,2.211345,0.060883917,0.0,-0.058541615,100.16558
1000.0,1000.0,2,12,14.016938924789429,12000,0.483346164226532,2.1957471,0.08459108,0.0,-0.05605886,81.648766
1000.0,1000.0,2,14,15.806370258331299,14000,0.6686451137065887,2.1750913,0.30056685,0.0,-0.06365039,78.848366
1000.0,1000.0,2,16,17.676295280456543,16000,0.8360082060098648,2.0166667,0.9942879,0.0,-0.1211034,68.9964
1000.0,1000.0,2,18,19.515142679214478,18000,0.7301094233989716,1.8744661,0.19873479,0.0,-0.089744955,24.930916
738.4444444444445,738.4444444444445,9,27,21.355957984924316,19938,0.8559920936822891,1.6948842,0.40845138,0.0,-0.10507997,38.28513
344.5076923076923,344.5076923076923,38,65,23.425901412963867,22393,0.8825737237930298,1.6492987,0.26817557,0.0,-0.11023843,44.254707
154.7,154.7,44,109,25.44020986557007,24470,0.9233483895659447,1.5646397,0.2280065,0.0,-0.09576031,42.930046
50.43,50.43,25,134,27.422654390335083,26092,0.9415206238627434,1.4124142,0.43349501,0.0,-0.11610083,33.894936
53.26,53.26,44,178,29.466497898101807,28510,0.8573154658079147,1.4028804,0.08558927,0.0,-0.05211487,43.129623
56.03,56.03,35,213,31.41242790222168,30516,0.8059959560632706,1.3669559,0.052679505,0.0,-0.057481263,44.797512
53.38,53.38,35,248,33.43570041656494,32495,0.6710177361965179,1.3233424,0.10250616,0.0,-0.068343505,50.436905
55.38,55.38,35,283,35.3759183883667,34500,0.5777721405029297,1.292975,0.0810465,0.0,-0.07172698,51.788315
62.92,62.92,26,309,37.42595076560974,36804,0.8929750993847847,1.2632496,0.77619874,0.0,-0.14793862,71.53027
71.45,71.45,9,318,39.28858971595764,38151,0.8341800272464752,1.2348328,0.21378422,0.0,-0.11786089,27.391264
86.23,86.23,11,329,41.13999843597412,40120,0.4687778353691101,1.2048858,0.301073,0.0,-0.084779695,19.280722
106.21,106.21,2,331,42.981990814208984,42120,0.4011964201927185,1.2135136,0.12726171,0.0,-0.06653151,13.7611885
121.31,121.31,2,333,44.78857922554016,44120,0.16727125644683838,1.2164214,0.33784115,0.0,-0.08463955,13.2724695
141.29,141.29,2,335,46.63288855552673,46120,0.19151705503463745,1.1924434,0.14414708,0.0,-0.06825273,21.41196
171.26,171.26,3,338,48.49340081214905,49120,0.06685894727706909,1.1660103,0.0814864,0.0,-0.06541046,42.477745
186.33,186.33,2,340,50.27145266532898,51120,0.014274418354034424,1.1238998,0.17171304,0.0,-0.060817264,38.5026
206.31,206.31,2,342,52.092395067214966,53120,0.024045050144195557,1.0292226,0.14760885,0.0,-0.05884216,34.114372
226.29,226.29,2,344,53.94922423362732,55120,0.10382044315338135,0.95398533,0.14048073,0.0,-0.050713044,33.53379
227.67,227.67,32,376,56.01934480667114,57260,0.8624540418386459,0.970333,0.701515,0.0,-0.13564171,74.231224
221.33,221.33,38,414,58.114948987960815,59281,0.8334830850362778,0.95241976,0.38360894,0.0,-0.15139464,39.669834
49.33,49.33,42,456,60.08412194252014,61330,0.8670953959226608,0.94927204,0.37305927,0.0,-0.12138027,23.65235
49.26,49.26,39,495,62.17962455749512,63377,0.8486112505197525,0.9469432,0.17789187,0.0,-0.11680574,19.305462
49.66,49.66,39,534,64.16531014442444,65404,0.8386276662349701,0.94428027,0.08012451,0.0,-0.10431944,22.224937
50.25,50.25,36,570,66.20798349380493,67210,0.7859724909067154,0.8833141,0.0937532,0.0,-0.09389557,22.442286
52.35,52.35,38,608,68.28118133544922,69356,0.8401576429605484,0.8379192,0.058884252,0.0,-0.06995302,25.476059
63.41,63.41,18,626,70.25620555877686,71315,0.7898790091276169,0.7827058,0.028075721,0.0,-0.035666797,26.807669
61.1,61.1,37,663,72.35993146896362,73313,0.8847523108124733,0.7591763,0.050382655,0.0,-0.02424761,25.960417
65.74,65.74,34,697,74.30951118469238,75439,0.7994498312473297,0.7229658,0.059387986,0.0,-0.051523127,30.98008
57.78,57.78,32,729,76.32490038871765,77609,0.9249715730547905,0.7270754,0.050148904,0.0,-0.03234971,25.169994
61.22,61.22,34,763,78.44279646873474,79435,0.9280137568712234,0.7308059,0.07965834,0.0,-0.049434077,26.785233
62.5,62.5,30,793,80.55722975730896,81685,0.9154232740402222,0.7360592,0.12538344,0.0,-0.056286484,29.105612
59.08,59.08,33,826,82.60945439338684,83514,0.9186698645353317,0.7318033,0.10034581,0.0,-0.025653018,30.301157
64.68,64.68,33,859,84.6920702457428,85899,0.8592382371425629,0.729321,0.06759473,0.0,-0.020991977,35.64399
70.26,70.26,9,868,86.57071685791016,87454,0.8527782410383224,0.6881663,0.059406575,0.0,-0.069516905,26.588371
85.6,85.6,2,870,88.47626876831055,89454,0.7025379240512848,0.65259933,0.04583159,0.0,-0.032299656,37.088062
106.77,106.77,10,880,90.39913773536682,91980,0.8442965745925903,0.6280231,0.054687805,0.0,-0.039450496,41.94252
118.8,118.8,15,895,92.39697337150574,93907,0.9067141860723495,0.615693,0.06155095,0.0,-0.029569358,32.095005
128.75,128.75,19,914,94.39343214035034,95870,0.902450442314148,0.6154652,0.02871495,0.0,-0.05050915,31.768625
148.73,148.73,2,916,96.20970630645752,97870,0.670645147562027,0.61561376,0.03279621,0.0,-0.020161001,40.304817
168.07,168.07,10,926,98.12305116653442,100321,0.7995114773511887,0.6151903,0.03070153,0.0,-0.033258826,39.47764
183.33,183.33,2,928,99.95858359336853,102321,0.8530180752277374,0.61605054,0.11010859,0.0,-0.088843025,44.65446
203.31,203.31,2,930,101.80809783935547,104321,0.728586882352829,0.6164886,0.013757122,0.0,-0.040974908,38.32719
223.29,223.29,2,932,103.67164349555969,106321,0.7864972352981567,0.6162146,0.058442164,0.0,-0.038785417,32.0157
180.37,180.37,39,971,105.77471351623535,108491,0.9323918670415878,0.6160158,0.03783748,0.0,-0.04425263,38.679356
154.41,154.41,35,1006,107.7556459903717,110304,0.9383092448115349,0.6159362,0.033008054,0.0,-0.044426832,29.704235
